"","id","amount_tsh","installer","longitude","latitude","basin","region","ward","population","public_meeting","scheme_management","permit","construction_year","extraction_type","management","payment_type","water_quality","quantity","source","waterpoint_type","status_group","year_recorded"
"1",11,30,1034,38.66363897,-5.80574551,6,21,1256,150,1,6,1,2007,15,5,6,5,3,4,2,3,"2011"
"2",12,0,2106,36.75623102,-3.37377239,6,1,1651,350,2,12,1,2010,4,11,7,7,3,6,2,3,"2013"
"3",16,0,434,35.33371331,-10.46963842,2,17,660,0,2,9,2,1984,4,8,4,7,1,9,2,3,"2013"
"4",23,0,714,36.90446349,-7.04115037,9,12,2008,150,2,9,2,1981,10,8,3,7,2,8,7,3,"2011"
"5",24,0,434,38.79817881,-5.11774781,6,21,625,80,2,9,1,1999,4,8,3,7,4,9,2,3,"2011"
"6",25,0,434,30.6133054,-3.89456056,4,6,1812,230,2,9,1,2002,9,8,7,7,4,8,5,3,"2013"
"7",27,0,1596,35.14248718,-10.68130664,8,17,641,60,1,9,2,1977,4,8,7,7,1,9,2,3,"2013"
"8",31,1000,349,37.23636547,-11.0093196,8,17,631,1,2,9,1,1998,4,8,1,7,2,7,2,3,"2013"
"9",35,0,500,38.62281664,-10.84995836,8,13,1218,96,2,9,2,1976,10,8,3,1,4,8,7,3,"2013"
"10",43,0,1598,32.98484421,-2.06895007,5,14,1424,350,2,9,2,1982,10,8,3,7,3,3,3,3,"2011"
"11",45,0,434,29.69171656,-4.84022317,4,6,1480,400,2,13,2,1992,10,8,7,5,2,4,7,3,"2013"
"12",51,0,434,38.46468013,-4.8630613,6,21,88,1,2,9,2,1969,4,8,3,7,2,9,2,3,"2011"
"13",54,0,647,34.60465222,-1.8288033,5,10,1714,450,1,13,2,1996,13,12,3,7,2,8,5,3,"2012"
"14",66,30,1314,38.98673862,-10.32394824,8,8,1038,260,2,9,2,1998,15,8,6,7,2,8,2,3,"2013"
"15",68,50,1041,39.27075073,-10.59863978,8,13,1072,490,2,9,1,1984,15,8,6,7,2,4,2,3,"2013"
"16",71,0,84,35.76982836,-8.09702225,7,4,2002,1,2,9,2,2008,4,8,3,7,2,7,2,3,"2011"
"17",73,0,509,39.76871074,-10.74511789,8,13,766,500,2,11,2,1982,15,8,3,7,1,4,3,3,"2013"
"18",75,0,434,34.5688417,-8.91716508,7,4,369,20,2,12,2,1978,4,11,4,7,1,7,7,3,"2011"
"19",80,0,1398,34.86029219,-4.66133264,1,19,378,1,2,9,2,1980,10,8,7,8,1,8,7,3,"2013"
"20",82,0,434,36.64542638,-3.30626376,6,1,692,200,2,9,2,1991,4,8,3,7,3,9,2,3,"2013"
"21",87,0,2108,38.09689218,-11.12009985,8,13,1573,1,2,9,2,2010,10,8,3,7,2,4,7,3,"2013"
"22",91,20,1252,37.3182742,-3.31307844,6,7,883,50,2,10,2,1998,15,9,6,7,3,4,3,3,"2013"
"23",92,0,1598,30.97765072,-3.29204969,4,6,502,350,2,9,1,1991,4,8,7,7,3,9,3,3,"2013"
"24",97,50,434,38.90589269,-6.83757347,9,15,1915,45,2,9,2,2008,10,8,6,7,3,8,5,3,"2011"
"25",98,0,2096,34.22055083,-1.22615201,5,10,1237,1000,2,4,1,1978,15,8,3,7,1,7,3,3,"2012"
"26",102,0,1824,30.38643948,-5.57267411,4,16,1244,145,2,10,2,1985,10,9,3,7,2,4,5,3,"2013"
"27",104,50,883,35.80579423,-8.25195352,7,4,34,120,2,9,2,2006,4,8,6,7,2,4,2,3,"2011"
"28",112,30,2123,38.34276796,-6.60873088,9,15,149,50,2,12,2,2010,7,11,6,7,2,7,2,3,"2011"
"29",114,0,2105,38.17085213,-6.83867874,9,12,1611,50,2,9,2,2000,4,8,3,7,4,6,2,3,"2011"
"30",122,0,649,34.67625091,-1.86842589,5,10,1416,600,2,4,2,1997,9,2,3,7,3,8,5,3,"2013"
"31",130,250,1339,30.21324257,-4.49770051,4,6,1816,450,2,10,2,1988,4,10,2,7,2,7,2,3,"2013"
"32",132,500,434,34.63419241,-9.05902235,7,4,2038,50,2,12,2,1978,4,11,2,7,1,7,2,3,"2011"
"33",145,1000,1160,35.38750678,-10.70761051,8,17,971,0,2,9,2,1977,4,8,2,7,1,7,2,3,"2013"
"34",147,0,1824,34.33027403,-4.09095092,1,19,1972,215,2,9,2,1994,9,8,3,7,3,8,5,3,"2013"
"35",148,0,406,39.12479531,-9.90253564,8,8,1054,1650,2,12,2,1975,4,11,3,7,5,9,3,3,"2013"
